ETP-EXPRESS
μ = 0.1

   ;  mm;  mm;  mm;      mm;  mm;  mm;    Nm;    kN; kN;     ;  mm;  mm; Nm;  kgm2•10-3; kg
 ID;  d;   D;  D1;       D2;   L;  L1;     T;    FA; FR;  Thread; R;  N; Tt;     J; m
 15;  15;  18;  46;    48.9;  25;  39;    46;   5.1; 0.5; M10; 15.1;  5;  5;  0.04; 0.16
 19;  19;  23;  50.5;  53.0;  28;  42;    85;   7.3; 1;   M10; 17.4;  5;  5;  0.06; 0.20
 20;  20;  24;  51.5;  54.1;  30;  44;   110;   9.1; 1;   M10; 18;    5;  5;  0.07; 0.21
 22;  22;  27;  55.5;  60.5;  32;  46;   130;   9.6; 1.2; M10; 19.3;  5;  5;  0.10; 0.25
 24;  24;  29;  57.5;  62.3;  33;  47;   190;  13;   1.4; M10; 20.3;  5;  5;  0.11; 0.27
 25;  25;  30;  58;    62.9;  35;  49;   230;  15;   1.5; M10; 20.8;  5;  5;  0.12; 0.27
 28;  28;  34;  63;    69.6;  38;  52;   280;  16;   1.8; M10; 22.6;  5;  5;  0.17; 0.34
 30;  30;  36;  64.5;  71.0;  40;  54;   380;  21;   2;   M10; 23.6;  5;  5;  0.19; 0.35
 32;  32;  39;  68.5;  77.7;  42;  56;   440;  22;   2.2; M10; 24.8;  5;  5;  0.25; 0.42
 35;  35;  42;  73;    85.1;  45;  59;   640;  30;   2.5; M10; 26.4;  5;  5;  0.32; 0.48
 38;  38;  46;  84.5;  89.5;  52;  72;   890;  38;   2.8; M16; 31;    8; 21;  0.76; 0.84
 40;  40;  48;  86.5;  91.2;  55;  75;  1100;  45;   3;   M16; 32;    8; 21;  0.84; 0.88
 42;  42;  51;  89;    93.5;  56;  76;  1100;  43;   3.2; M16; 33.2;  8; 21;  0.97; 0.96
 45;  45;  54;  93;   100.3;  58;  78;  1400;  51;   3.5; M16; 34.8;  8; 21;  1.17; 1.05
 48;  48;  59;  97;   103.8;  59;  79;  1700;  57;   4;   M16; 36.8;  8; 21;  1.46; 1.21
 50;  50;  60;  98.5; 105.1;  60;  80;  1900;  63;   4.5; M16; 37.5;  8; 21;  1.52; 1.20
 55;  55;  67; 106;   115.9;  65;  85;  2400;  71;   5;   M16; 40.5;  8; 21;  2.18; 1.50
 60;  60;  73; 115.5; 132.7;  70;  90;  3300;  90;   5.3; M16; 43.3;  8; 21;  3.17; 1.85
 65;  65;  79; 120.5; 137;    75;  95;  4400; 112;   5.6; M16; 46.1;  8; 21;  4.1;  2.13
 70;  70;  85; 135.5; 153.9; 85;  109;  5600; 130;   6.4; M20; 50.8; 10; 39;  7.12; 3.04
 80;  80;  97; 145.5; 162.6; 95;  119;  8700; 180;   7.5; M20; 56.3; 10; 39; 10.35; 3.75
 90;  90; 109; 155.5; 171.7; 105; 129; 12000; 220;   8.6; M20; 61.8; 10; 39; 15.20; 4.80
100; 100; 121; 166;   181.0; 115; 139; 17000; 280;   9.7; M20; 67.3; 10; 39; 21.90; 5.90
