ETPOCTOPUS
μ = 0.1.

ID; d; D; L; b; F1; F2; m ; oilClearance
O-10; 10; 20; 40; 10.5; 2.0; 2.6; 0.04; 1.5
O-15; 15; 25; 50; 10.5; 4.7; 6.1; 0.06; 1.5
O-20; 20; 30; 65; 10.5; 9.6; 12; 0.09; 1.5
O-25; 25; 35; 80; 11.5; 15; 20; 0.14; 1.5
O-30; 30; 40; 100; 11.5; 25; 32; 0.20; 1.5
O-35; 35; 45; 100; 11.5; 29; 38; 0.23; 1.5
O-40; 40; 50; 100; 11.5; 33; 43; 0.26; 1.5
O-45; 45; 55; 100; 11.5; 38; 49; 0.29; 1.5
O-50; 50; 65; 100; 13.7; 39; 51; 0.59; 2.2
O-60; 60; 75; 100; 13.7; 47; 61; 0.69; 2.2
O-70; 70; 85; 100; 13.7; 55; 71; 0.80; 2.2
O-80; 80; 100; 120; 18.3; 73; 94; 1.4; 3.8
O-90; 90; 110; 130; 18.3; 92; 110; 1.7; 3.8
O-100; 100; 120; 140; 18.3; 113; 140; 2.0; 3.8
